id,question,answer_id,answer_body
1350324,Windowsログインが出来ない,4420,"windowsのログインが出来ない状態ですね。

LANケーブルは挿していますか？"
1350325,ログインが出来ない,4420,"windowsのログインが出来ない状態ですね。

LANケーブルは挿していますか？"
1350326,パソコンにログインが出来ない,4420,"windowsのログインが出来ない状態ですね。

LANケーブルは挿していますか？"
1350327,PCにログインが出来ない,4420,"windowsのログインが出来ない状態ですね。

LANケーブルは挿していますか？"
1350328,ブルースクリーンが発生し強制的にシャットダウンされる,2761,"ブルースクリーンになる状態ですね。

頻発していますか？"
1350329,ブルースクリーンになって強制的に再起動される,2761,"ブルースクリーンになる状態ですね。

頻発していますか？"
1350330,パソコンにメモリを増設したい,4423,"PCへのメモリ増設についてですね。

使用しているPCの種類はなんですか？"
1350331,PCにメモリを増設したい,4423,"PCへのメモリ増設についてですね。

使用しているPCの種類はなんですか？"
1350332,メモリを増設したい,4423,"PCへのメモリ増設についてですね。

使用しているPCの種類はなんですか？"
1350333,共有PCに設定している管理者権限を他のユーザーにも付与させたい,4425,"共有PCへの管理者権限追加についてですね。

管理者権限を他のユーザーにも追加させたい共有PCの機種を教えてください。"
1350334,共有PCの管理者を増やしたい,4425,"共有PCへの管理者権限追加についてですね。

管理者権限を他のユーザーにも追加させたい共有PCの機種を教えてください。"
1350335,データをメディアにコピーしたい,4428,"データーコピーについてですね。

情シスにてデータをメディアにコピーしますので、メディアを情シスまで持ってきてください。
※その際、データが共有フォルダのどこに格納されているのかお知らせください。

情シスML
itsystems@septeni-holdings.co.jp"
1350336,CDを焼きたい,4428,"データーコピーについてですね。

情シスにてデータをメディアにコピーしますので、メディアを情シスまで持ってきてください。
※その際、データが共有フォルダのどこに格納されているのかお知らせください。

情シスML
itsystems@septeni-holdings.co.jp"
1350337,DVDを焼きたい,4428,"データーコピーについてですね。

情シスにてデータをメディアにコピーしますので、メディアを情シスまで持ってきてください。
※その際、データが共有フォルダのどこに格納されているのかお知らせください。

情シスML
itsystems@septeni-holdings.co.jp"
1350338,Macを使用したい,4429,"Macの利用についてですね。

Macを利用するには、部長以上および情報セキュリティ事務局の承認を得る必要があります。
双方に承認は得ていますか？"
1350339,Macを利用したい,4429,"Macの利用についてですね。

Macを利用するには、部長以上および情報セキュリティ事務局の承認を得る必要があります。
双方に承認は得ていますか？"
1350340,Macに変更したい,4429,"Macの利用についてですね。

Macを利用するには、部長以上および情報セキュリティ事務局の承認を得る必要があります。
双方に承認は得ていますか？"
1350341,MacにPCを変更したい,4429,"Macの利用についてですね。

Macを利用するには、部長以上および情報セキュリティ事務局の承認を得る必要があります。
双方に承認は得ていますか？"
