id,question,answer,question_answer_id,bot_id
3186864,住宅ローン（法人提携銀行・旧トーメン社員）申請内容を修正したいので、差戻しをお願したい,住宅ローン（旧トーメン社員）申請の変更修正について、当日の17時30分までなら差戻し（却下）は可能です。Sで始まる精算番号と金額、連絡先を東京THRへご連絡下さい。,13277,13
3186865,住宅ローン（法人提携銀行・旧トーメン社員）の当社と提携している銀行名、優遇条件、連絡窓口等を知りたい,"住宅ローンについて、TWINSの「Let's福利厚生掲示板」の「検索」に、それぞれの銀行を入力してお調べください。なお提携している銀行は以下の通りです。
（ 三菱東京UFJ、 三井住友銀行、みずほ銀行、三井住友信託銀行、財形住宅金融）",13278,13
3186866,在職証明書が欲しい,"THR名古屋/厚生G担当へ依頼して下さい。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/G006203?OpenDocument",13280,13
3186867,住宅ローン手続き（法人提携銀行・旧トーメン社員）の不動産法人割引の紹介カードが欲しい。,住宅ローンの紹介カードについて、三菱レジデンス・三井不動産のみ法人提携をしている。東京人事G/武石が発行します。,13281,13
3186868,財形貯蓄・財形住宅の新規募集時期はいつですか？,毎年6月に募集(一般財形・住宅財形・年金財形）をしてますが、東海労金のみです。,13282,13
3186869,財形貯蓄・財形住宅の金額の変更は随時できますか？,毎年6月のみになります(一般財形・住宅財形・年金財形）。申請書は東京にもあります。武石が不在の場合は、名古屋THR厚生Gにお問い合わせください。,13283,13
3186870,財形貯蓄・財形住宅の払戻しをお願したい。,申請書がありますので、社内便でお送りします。印鑑の漏れがないようにしてください。東京にお住いの方は、東京都から明記してください。住所が変更されてる方には、変更届出書も記入願います。武石が不在の場合は、名古屋THR/厚生Gに送ってください。,13284,13
3186871,社宅はどこにありますか？空き状況は？,東京の社有物件は、入居が難しいです。社有でなく、借上げか会社選定物件となります。詳しくは、名古屋THR/厚生Gにお尋ねください。,13285,13
3186872,出張者から金町寮に宿泊したいがどうしたらいいか。,"金町寮の利用については、空き状況などを確認しますので、THR東京人事G/武石（03-4306-3368）までご連絡して下さい。1泊2,000円+布団のクリーニング代（約1万円）食費は別となります。",13286,13
3186873,引越先が決まっていないが、どうしたらいいか。,地域が決まっていれば、大よその住所を記入の上、申請してください。,13287,13
3186874,港区に勤務している在勤証明書を発行してほしい。,"名古屋THR厚生G担当へ依頼して下さい。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/G006203?OpenDocument",13288,13
3186875,人事異動（出向戻り）に伴うPCアドレスの設定はどうやるの？,"TTCのPCアドレスについては、TWINS「人事発令に伴う各種IT関連の申請・注意事項について」を確認いただき、
不明点はﾍﾙﾌﾟﾃﾞｽｸへご連絡下さい。",13289,13
3186876,育児短時間勤務申請書はいつまでに提出するのか？,1ヵ月前まで（年度申請）,13290,13
3186877,育児短時間勤務申請書は曜日別に申請できるか？,1日の勤務時間が6時間を超えていれば問題ありません。,13291,13
3186878,育児短時間勤務申請はどこへ提出すればよいか？,各拠店のTHR担当へご提出下さい。,13292,13
3186879,財形貯蓄・財形住宅を一部解約をしたいが、申込から振込までどれくらいかかりますか？,休日を入れて2週間です。,13293,13
3186880,現在、借上げ寮にいますが、子供が大学に入学し上京するため、一緒に住める寮に変更したい。,個人的な理由での借上げはできません。個人負担で探して下さい。,13294,13
3186881,コーポレートカードを持っているか解らなくなったので、調べてほしい,コーポレートカードについては、THR名古屋/厚生G担当へ確認して下さい。,13295,13
3186882,芝浦アイランド付近に住んでいるが、都バスで利用して、通勤費申請してもよいか？,都バスは経済的な観点から認められないが、コミュニティバスは電車代と変わらないので認める。,13296,13
3186883,通勤費申請で最寄駅までバスの走行距離が1ｋｍ以上あるのに、1ｋｍ未満で不支給になったのはなぜ？,バス利用の場合、その利用区間の直近徒歩距離が1ｋｍ未満の場合には支給しない。（就業規則「給与規程」第3章手当を参照）,13297,13
3186884,東京本社から近いので、バスのみで通勤申請してもよいか？,最も経済的な手段となるか確認し、1分でも電車が速いなら電車を利用すること。,13298,13
3186885,通勤費の経済的・合理的なルートとは？,"朝の通勤時間、経路の合理性、乗換回数、金額の順番で確認。このうち金額については先の3つの条件を備えたうえで最安値から5,000円を超えないもの。",13299,13
3186886,通勤費は、月額10万円を超えなければ、新幹線通勤は認めてくれるの？,原則不可。特別なご事情があればTHR各拠店担当へご相談下さい。,13300,13
3186887,海外送付制度を利用した際、現地発生の関税費用等を立替ているが精算は？,"人事部負担で精算するので、領収書をTHR東京に提出してください。
社内レートで円貨換算し、立替金口座に振込します。",13301,13
3186888,現地住所が決まっていないが、引越手配は進められるか？,"赴任先住居/住所が未定でも、海外引越手配依頼書は早目に提出して下さい。
住所欄は未定/ブランクで構わないので、依頼書を提出し、業者との打ち合わせを
進めてください。",13302,13
3186889,予防接種の料金負担先はどこですか？勘定科目は？,"予防接種の費用負担先については、駐在員の経理コードとなり、勘定科目は国内の病院は厚生費（A9199）,海外の病院は厚生費（A9198）となります。",13304,13
3186890,休暇申請の申請内容を変更したいのですが。再申請した方がいいですか？,海外駐在員の休暇変更申請については、THRで修正しますので再申請は不要です。変更点をお知らせください。,13305,13
3186891,駐在中の健康診断について、予約を変更したのですが、どうしたらいいですか？,変更はご自身ですることになっておりますので、お願いします。変更後はTHR各拠店担当へご連絡を下さい。,13306,13
3186892,健保での健診を半年以内に受診してますが、渡航前健診として代用できますか？,駐在員の健診については、THR各拠店担当へ確認して下さい。,13307,13
3186893,駐在予定ですが、中国指定の健診を受診したら、渡航前健診は受けなくてもいいですか？,中国指定の健診は、VISA用の項目だけなので、渡航前健診は受診必須。負担先も違う。VISA用健診は駐在員の経理コード、渡航前健診は1902。,13308,13
3186894,駐在地で病院にかかった領収書があるので、精算してほしい。,駐在地でかかった診療（健診、妊娠に関すること、予防接種以外）は、ﾌﾟﾚｽﾃｰｼﾞｲﾝﾀｰﾅｼｮﾅﾙ社に請求することになってます。ヘルスケアカードの裏に連絡先があるので、そちらへ確認ください。,13310,13
3186895,海外で受診した健康診断結果は、どうしたらいいですか？,名古屋健康管理室・渡邉令子さんにPDFでメール送信してください。,13311,13
3186896,駐在予定ですが、VISA用の健診を受診したら、渡航前健診は受けなくてもいいですか？,中国指定の健診は、VISA用の項目だけなので、渡航前健診は受診必須。負担先も違う。VISA用健診は駐在員の経理コード、渡航前健診はA1902。勘定科目は2つともA9199,13312,13
3186897,駐在中の健診の予約日程を変更したのですが、どうしたらいいですか？,変更はご自身ですることになっておりますので、お願いします。変更後は連絡をください。,13313,13
3186898,健康診断の再検査は、会社負担でもいいですか？,健康診断の再検査にかかる費用は、個人負担（胃カメラの生検も含む）です。,13314,13
3186899,駐在員の予防接種の料金負担先はどこですか？勘定科目は？,"予防接種の費用負担先については、駐在員の経理コードとなり、勘定科目は国内の病院は厚生費（A9199）,海外の病院は厚生費（A9198）となります。",13315,13
3186900,医療費精算　おたふくの予防接種（MMR)は会社負担ですか？,"おたふくの予防接種については、7歳までは会社負担ですが、8歳以上は個人負担です。厚生労働省検疫所ホームページ掲載の予防接種は会社負担になります。その他に、コレラ、ジフテリア、DPT,ダニ脳炎、ロタ（子女のみ）が新たに会社負担となりました。",13316,13
3186901,医療費精算　抗体反応の料金は会社負担ですか？,会社負担です。(経理コード、厚生費A9199),13317,13
3186902,海外赴任に伴う予防接種証明書は会社負担ですか？,個人負担です。支度金でまかなってください。VISA取得のためであれば、会社負担になります。,13318,13
3186903,海外赴任に伴い、健康証明書は発行してもらえますか？,所定のフォームがあれば、病院で署名捺印をもらい、フォームがない場合は、病院に依頼します。,13319,13
3186904,帯同する家族の、赴任日の空港までの料金は、会社負担ですか？,会社負担です（A9162)。（たとえば、実家から成田空港まで。）合理的かつ経済的な交通手段で申請下さい（タクシーはNG）,13320,13
3186905,海外駐在中に受診した健康診断結果は、どうしたらいいですか？,名古屋健康管理室・渡邉令子さんにPDFでメール送信してください。費用は、立替精算をして、「海外医療費精算依頼書」をTHRに送付するか、海外店で払ってもらい、海外店からDebitNoteでTHRに請求するか、どちらかになります。,13321,13
