id,question
1290,080-5001-6198
7948,Outlook2010にてメールを送信する際、自分宛のメールをBCCで運用したいのですが？ 
7949,Outlook2010にて、メールの署名の作り方が教えてください。 
7950,Thunderbirdのテンプレートメールと同等の機能はOutlook2010にありますか？ 
7951,Thunderbirdの場合、「宛先」に姓を入れるとアドレス帳の候補者が出ましたが、Outlook2010でアドレスを簡単に検索できる機能はないですか？
7952,Outlookにて、メールアドレス検索の時にアドレス一覧をいちいち選択するのがわずらわしいです、こちらの意図したアドレス一覧をデフォルトに設定できないのでしょうか？ 
7953,Outlook2010にて、メールの再編集は可能ですか？ 
7954,Outlook2010にて、未読メールを探すのが大変です。 
7955,ThunderbirdとOutlook2010では送信済トレイの違いはありますか？ 
7956,Outlook2010にて、メールに添付するファイルに容量の制限はありますか？ 
7957,Outlook2010にて、長期休暇など長期でメールの返事ができない際、メールの自動応答をさせたいのですが、設定方法を教えてください。 
7958,Thunderbirdと同様に返信メールにインデントを付けたいのですが、可能でしょうか。 
7959,Outlookにて、メールサーバとローカルフォルダのメールを一括で検索可能でしょうか。 
7960,Outlook2010にて、メールの署名のvCardは使用可能でしょうか。 
7961,Outlookにて、他のユーザーが作成した個人アドレス帳を別のOutlookでインポート/エクスポートして共有可能でしょうか。
7962,Outlook2010にて、個人アドレス帳に写真を入れることができますか。 
7963,Thunderbirdと同様にメールの受信を通知させる事は可能でしょうか。 
7964,Outlookにてメール本文の１行に表示される文字数を変更する事は可能ですか。 
7965,Thunderbirdからアドレス帳をエクスポートして、Outlook2010にインポートを行うと、Thunderbirdでは１件だった連絡先が、２つに分割されて登録されてしまう。 
7966,Outlookにて、『Drafts(下書き)』、『Deleted Items(削除済みアイテム)』、『Junk Email(迷惑メール)』フォルダ内のすべてのメールを既読にしても、フォルダの右側に件数が表示されてしまう。 
7967,Outlook2010にて、アドレス帳から宛先を探す際に、姓名で検索しても正しく結果が表示されません。 
7968,Outlook2010にて、利用を初めた時から、Office2000を使用して終了した時に必ずエラーメッセージが表示されるようになった。 
7969,Outlook2010にて、メーリングリストを差出人に設定しメールを送信すると、送信エラーのメッセージが表示され、メールを送信できません。 
7970,"Outlookにて、『名前の確認（簡易検索）』を行ったのですが、存在するはずのユーザが検索結果に表示されません。 
"
7971,"Outlook2010をインストールしてから、フォルダの検索画面を表示しようとすると見慣れない画面が表示されてしまいます。 
"
7972,Thunderbirdより移行したローカルメールを再利用（返信）してメールを送信するとエラーが発生します。 
7973,Outlook2010にて、必要なメールが迷惑メールフォルダ(Junk Email)に振り分けられてしまいました。どうすればいいですか
7974,Outlook2010をインストール後、以前IMEに登録していた辞書の内容が消えてしまいました。 
7975,Thunderbirdから手順書に沿ってローカルメールの移行を行っているが、途中でエラーが発生してローカルメールの移行ができません。 
7976,Outlook2010にて、画像付(HTML形式)のメールを受信したのですが、プレビュー画面に画像が表示されません。 
7977,Outlook2010にて、画像付(HTML形式)のメールを印刷したのですが、画像が印刷されません。 
7978,Outlook2010にて、ひらがなで宛先検索ができません。 
7979,Outlook2010にて、メールを返信・転送するとタイトルや宛先の文字が化けてしまいます。 
7980,Outlook2010にて、設定が完了しているはずのメーリングリストが利用できません。 
7981,Outlook2010にて、受信したメールに書かれているURLがリンクとして機能していない時があります。
7982,Outlook2010にて、転送されたメールをOWAで参照できません。 
7983,Outlook2010にて、差出人の表示名が変わっています。 
7984,Outlook2010にて、ユーザID@daikin.co.jpでメールが送れてしまいます。 
7985,OWAの表示が勝手に変わってしまいました。（IE8を使用） 
7986,OWAがVPN経由で使用できません。 
7987,OWAでサインイン後「Webページが見つかりません」という画面が開き、メールが見れません。 
7988,Outlook2010にて、アドレス帳からメールアドレ検索に時間がかかる。
7989,Outlookで送信できない添付形式を教えてほしい。 
7990,Outlookにて、ログイン時にパスワード入力画面が出なくなりました。 
7991,急にOutlookにログインできなくなりました。 
7992,Outlook2010にて、下書き保存していたメールを編集し送信したら、相手先にメールが届いていません。 
7993,Outlook2010にて、メールが検索できません。
7994,OWAログイン時に「ユーザー名とパスワードが正しくありません。」と表示されます。 
7995,端末変更後、Outlook2010にて個人アドレス帳がアドレス一覧に表示されなくなりました。 
7996,Thunderbirdでは送信できていたメールアドレスに送信できなくなりました。 
7997,Outlook2010にて同期の失敗メールが届きましたが、どうすればいいですか。 
7998,Outlook2010のデータがハードディスク(Cドライブ)の容量を圧迫しています。 
7999,Outlook2010にて、メールアカウント設定を行いライセンス認証画面が表示されるが、ネットワークの外部接続できないため、ライセンス認証ができない。
8000,Outlook2010がメールのパスワードを入力しても起動されない。
8001,Outlook2010にてoffice365のメールアカウントが設定できない。エラーメッセージが表示される。
8002,メールパスワードを変更したい。
8003,Outlook2010にて手順書に沿ってo365の設定を行いパスワードを入力するが認証されず、OutLookが起動できない。
8004,Outlook2010にて、Daikin Ｄｉｒｅctoryアドレス帳からアドレス検索時、固まってしまい検索ができない。
8005,"Outlook2010にて、メールの転送設定をしたいが、対応方法を教えて欲しい。
"
8006,ThunderbirdからOutLook2010へメール切り替えるが、対応方法を教えて欲しい。
8007,ThunderbirdからOutLook2010へメール切り替えるが、アドレス帳の移行方法を教えて欲しい。
8008,ThunderbirdからOutLook2010へメール切り替えるが、ローカルフォルダの移行方法を教えて欲しい。
8009,共有端末にて、Outlook2010からメール設定を行っているがやり方を教えて欲しい。
8010,Outｌook2010起動時に認証画面でキャンセルを押してもメールがられるが、見れないように出来ないか。
8011,Outlook2010にて、メーリングリストを差出人に設定しメール送付する方法を教えて欲しい。
8012,"Outlook2010にて、メールのパスワードが不明のため、メールが見ることができない。対処方法を教えて欲しい。
"
8013,Outlook2010にて、メールの受信トレイが日付別に表示されているので、解除できないか。
8014,Outlook2010起動時にプロファイル選択画面が表示されるが表示しないようにしてほしい。
8015,Outlook2010を起動すると、オフライン状態と表示されメールを受信できないので、対応方法を教えてほしい。
8016,Outlook2010にて、操作を誤り特定のフォルダとメールが消えたため、復旧方法を教えて欲しい。
8017,Outlook2010にてメールを検索したが検索結果の上に”インデックスを作成中…”メッセージが表示される。
8018,Outlook2010にて、明らかにメールが表示されているのに検索結果が表示されない。
8019,端末をリプレイスしているが、Outlookの仕分けルールは移行されるのか教えて欲しい。
8020,Outlook2010に届く迷惑メールを受信拒否したい。
8021,Outlook2010にて、正常なメールがスパムフォルダに届く、受信トレイに届くようにしたい。
8022,Outlook2010にて、部門用の連絡先グループを作成したので、他メンバーと共有したい。
8023,Outlook2010にて、メールをプレビューする画面が消えた。戻し方を教えて欲しい。
8024,Outlook2010にて、連絡先にThunderbirdから移行した個人アドレス帳が表示されない。
8025,Ouｔlook2010の受信トレイに表示される”件名”フィールドを操作を誤って削除してしまった。対応方法を教えてほしい。
8026,Outlook2010にて、メールを送信したが、送信トレイに保存され送信できない。
8027,Outlook2010にて、ローカルフォルダを作成したいが、対応方法を教えてほしい。
8028,端末にOffice365のメールアカウントを作成しているが、”暗号化に失敗しました。”のメッセージが表示され設定できない。
8029,Outlook2010にて、アドレス帳のアドレス一覧に表示されている中に不要なアドレス帳が表示されているので削除して欲しい。
8030,Outlook2010のインストール媒体が欲しい。
8031,イントラHPから「Webメール」-「OWA」をクリックしても、最初画面が表示されない。
8032,端末が新しくなったため、Outlook2010を設定したいが手順書を教えて欲しい。
8033,出張先に自分の端末が無いが、メールを利用したい。
8034,Outlook2010にて、手順書に沿って設定しているが、メールアカウントを設定できない。
8035,Outlook2010にて、同期の失敗メールが受信されるが、対応方法を教えて欲しい。
8036,Outlook2010のメールアカウント設定完了したが、Outlookを起動すると「構成の進行状況」画面が表示される。
8037,Outlook2010のグローバルアドレス一覧にて、”名前”かつ”場所”や”拠点”にて検索することが出来るか教えて欲しい。
8038,Outlook2010の受信トレイに未読メールが存在するが、メールが表示されない。
8039,社外から添付ファイル付きメールを送信して頂くことになったが、メール受信できる容量制限を教えて欲しい。
8040,Outlook2010にて、メール本文にURLを記載し送信すると本文のURLが改行される。
8041,Outlook2010を起動すると、ライセンス認証されていないとメッセージが表示される。ライセンスコードを教えて欲しい。
