id,question,bot_id,answer_id
13277,「住宅ローン手続関連（法人提携銀行・旧トーメン社員）」申請内容を修正したいので、差戻しをお願いしたい,13,6708
13278,「住宅ローン手続関連（法人提携銀行・旧トーメン社員）」当社と住宅ローンで提携している銀行名、優遇条件、連絡窓口等を知りたい,13,6709
13279,「勤務証明書発行・休業証明書発行」保育園入所に伴う役所へ提出するため、証明書（勤務/育児休業）が欲しい,13,6710
13280,「在職証明書発行」在職証明書が欲しい,13,6710
13281,「住宅ローン手続関連（法人提携銀行・旧トーメン社員）」不動産法人割引の紹介カードが欲しい。,13,6711
13282,「財形貯蓄・財形住宅関連」新規募集時期はいつですか？,13,6712
13283,「財形貯蓄・財形住宅関連」金額の変更は随時できますか？,13,6713
13284,「財形貯蓄・財形住宅関連」払戻しをお願いしたい。,13,6714
13285,「寮・社宅・駐車場手続関連（金町寮、青葉台社宅）」社宅はどこにありますか？空き状況は？,13,6715
13286,「寮・社宅・駐車場手続関連（金町寮、青葉台社宅）」出張者から金町寮に宿泊したいがどうしたらいいか。,13,6716
13287,「転勤者引越対応」引っ越し先が決まっていないが、どうしたらいいか。,13,6717
13288,「勤務証明書発行・休業証明書発行」港区に勤務している在勤証明書を発行してほしい。,13,6710
13289,「その他」人事異動（出向戻り）に伴うPCアドレスの設定はどうやるの？,13,6718
13290,「短時間勤務申請」育児短時間勤務申請書はいつまでに提出するのか？,13,6719
13291,「短時間勤務申請」育児短時間勤務申請書は曜日別に申請できるか？,13,6720
13292,「短時間勤務申請」育児短時間勤務申請はどこへ提出すればよいか？,13,6721
13293,「財形貯蓄・財形住宅関連」一部解約をしたいが、申込みから振込までどれくらいかかりますか？,13,6722
13294,「寮・社宅・駐車場手続関連（金町寮、青葉台社宅）」現在、借上げ寮にいますが、子供が大学に入学し上京するため、一緒に住める寮に変更したい。,13,6723
13295,「その他」コーポレートカードを持っているか解らなくなったので、調べてほしい,13,6724
13296,「通勤費」芝浦アイランド付近に住んでいるが、都バスで利用（申請）してもよいか？,13,6725
13297,「通勤費」最寄駅までバスの走行距離が1ｋｍ以上あるのに、1ｋｍ未満で不支給になったのはなぜ？,13,6726
13298,「通勤費」東京本社から近いので、バスのみで通勤申請してもよいか？,13,6727
13299,「通勤費」経済的・合理的なルートとは？,13,6728
13300,「通勤費」月10万円を超えなければ、新幹線通勤は認めてくれるの？,13,6729
13301,「海外送付制度（日本食・医薬品等）」送付制度を利用した際、現地発生の関税費用等を立替えているが精算は？,13,6730
13302,「海外引越」現地住所が決まっていないが、引越し手配は進められるか？,13,6731
13303,「各種証明書発行事務」勤務証明やお子様の駐在証明を発行できますか？,13,6755
13304,「医療費精算（海外送金・国内支払）」予防接種の費用負担先はどこですか？勘定科目は？,13,6733
13305,「海外店電子申請承認業務（一時帰国・休暇・教育・住居・語学）」休暇申請の申請内容を変更したいのですが。再申請した方がいいですか？,13,6752
13306,「駐在員健康診断予約手配・支払業務」予約を変更したのですが、どうしたらいいですか？,13,6735
13307,「駐在員健康診断予約手配・支払業務」健保での健診を半年以内に受診してますが、渡航前健診として代用できますか？,13,6736
13308,「駐在員健康診断予約手配・支払業務」中国指定の健診を受診したら、渡航前健診は受けなくてもいいですか？,13,6737
13309,「健康保険証の管理・送付（仮証発行を含む）」駐在時に預かった保険証を、返却してください。,13,6738
