id,question,answer,question_answer_id,bot_id,answer_id
1765488,カードキーなくした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765489,カードキー,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765490,パソコン壊れた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765491,今週の予定どうなってますか？,今週の予定について確認したいのですか？, - ,"",6693
1765492,今週の予定,今週の予定について確認したいのですか？, - ,"",6693
1765493,総務の山田さんに連絡をとりたい,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765494,山田さんの予定,今週の予定について確認したいのですか？, - ,"",6693
1765495,総務の山田さん,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765496,山田さんに連絡,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765497,PCのログインができなくなったんですが、誰に聞けばいいですか？,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765498,PCがログインできない,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765499,今週の会社全体の予定ってどうなってましたっけ？,今週の会社の予定です。9/19(月) 敬老の日でお休み9/20(火) 特になし9/21(水) ファミリー出社デー9/22(木) 秋分の日でお休み9/23(金) 全体会議, - ,"",6701
1765500,今週の予定は？,今週の予定について確認したいのですか？, - ,"",6693
1765501,パソコンこわれた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765502,パソコンが壊れた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765503,パソコンが壊れました・・,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765504,鍵なくした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765505,鍵なくしちゃった,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765506,かぎがない,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765507,ログインが出来ない,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765508,パソコン入れない,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765509,今週の予定は,今週の予定について確認したいのですか？, - ,"",6693
1765510,今週何があったっけ,今週の予定について確認したいのですか？, - ,"",6693
1765511,来週の予定は？,今週の予定について確認したいのですか？, - ,"",6693
1765512,総務の人に連絡,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765513,総務の山田さんのメールアドレス教えて,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765514,パソコンが壊れた、ログインができない,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765515,カードキーを無くしたんですが、どうしたらいいですか？,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765516,カードキーを無くしたんですが,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765517,PCが壊れたよ誰に聞けばいいですか？,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765518,PC壊れた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765519,PC壊れました~,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765520,PC壊れました,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765521,山田さん,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765522,社員証なくしたよー,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765523,社員証わすれたー,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765524,社員証なくした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
