"地区予選は何地区まで申込みできますか？","地区予選の参加可能な地区数について、参加区分「コンペティション」としての参加は２地区までです。本選進出の対象とならない参加区分「演奏検定のみ」を選択した場合、制限はありません。（「演奏検定のみ」が選択できるのはソロ部門A2級～ F級、連弾各級のみ）部門間での併願についての注意事項をご覧ください。

演奏検定のみ
http://www.piano.or.jp/compe/about/ensoukentei.html

【参照】 参加規定
http://www.piano.or.jp/compe/about/regulations.html"
"日程が一部重なっている二つの地区を併願できますか？","日程が一部重なっている二つの地区を併願することは可能です。ただし審査日が重なった場合の参加日時の調整は致しかねます。

【参照】 参加規定
http://www.piano.or.jp/compe/about/regulations.html"
"2日間以上にわたって開催される地区の場合、参加日の指定はできますか？","2日間以上にわたって開催される地区の場合、参加日の指定が出来るかという質問ですね。
予備日を含め、2日間以上開催される地区で日時指定はできません。どの日程になってもご参加可能な地区をお選びください。審査日時は開催の10日～１週間前までに発送される参加票にてお知らせいたします。

【参照】 参加規定
http://www.piano.or.jp/compe/about/regulations.html"
"申し込んだ地区に参加できないことはありますか？","申し込んだ地区に参加できないことはあります。
各地区とも申し込みは先着順に受け付け、規定人数を超えた場合、他地区への変更か参加料の返金を選択していただきます。（対象者に随時個別にご案内）

【参照】開催日程・地区選択上の注意
http://www.piano.or.jp/compe/schedule/"
"デュオ部門の参加者１と参加者２の登録について","デュオ部門の参加者１と参加者２の登録について、「参加者１」と「参加者２」とは、演奏におけるプリモ（上のパート）とセコンド（下のパート）の分担とは関係がありません。予選・本選・決勝大会での演奏においては、どちらの参加者がどのパートを担当してもかまいません。"
"指導者IDとはなんですか？","指導者IDとは、過去にピティナ・ピアノコンペティション、ピアノステップの申込時に指導者登録された先生には、ピティナ会員かどうかにかかわらず全員に指導者IDが交付されます。ピティナにご入会いただいていない方のIDは参加料金の指導者割引・会員割引にはご利用いただけません。"
"会員IDとはなんですか？","会員IDとは、ピティナ会員証に記載されている会員番号です。
参加料金の指導者割引・会員割引に適用できます。"
"申し込み内容を変更したい。","申し込み内容を変更したい場合は、当協会ウェブサイトの申請フォームよりお手続きください。
下記の期限まで変更が可能です。
参加区分・課題曲：申込地区の締切日必着
参加地区：既に申込んでいる地区と、変更希望先地区のうち、早い方の締切日必着
指導者登録：2016年7月22日（金）必着（※予選・本選日程により毎年締切日変更となります）

申請フォーム
http://www.piano.or.jp/compe/entry/alternation.html"
"「登録情報の確認（メール・ハガキ）」がなかなか届きません。","「登録情報の確認（メール・ハガキ）」が届かないのですね。
発送予定日・発送状況は当協会ウェブサイトにてご確認頂けます。申込締切日から14日を過ぎてもお手元に届かない場合は、至急本部事務局にお問合せください。

【参照】申し込み後の流れ
http://www.piano.or.jp/compe/entry/before.html"
"「登録情報の確認（メール・ハガキ）」記載の内容に誤りがあります。","「登録情報の確認（メール・ハガキ）」記載の内容に誤りがある場合は、返信締切日までに、訂正内容について明記の上、FAXまたはメールでご連絡ください。"
"当日のスケジュールはいつごろ分かりますか？","当日のスケジュールは、開催日１週間～10日前にお送りする「参加票」にて当日の時間割とグループ番号をお知らせ致し ます。「参加票」の発送予定日・発送状況は当協会ウェブサイトにてご確認いただけます。

【参照】申し込み後の流れ
http://www.piano.or.jp/compe/entry/before.html"
"交通や宿泊の予約を取る都合 で、早く当日の時間割を知りた い。","交通や宿泊の予約を取る都合で、早く当日の時間割を知りたいのですね。
当日の時間割の発表は、全ての地区で公平を保つため一律で参加票の発送、および当協会ウェブ サイトへの掲載をもってお知らせいたします。なお、地区本選については参加票の発送に 先立ち7月中旬に各級の開催日を発表いたします。"
"当日の演奏順はどのように決 りますか？またいつわかります か？","当日の演奏順について、演奏順はコンピュータよる無作為の抽選順です。運営者の恣意や一定の規則に従わないように 配慮されています。演奏順は当日受付時に発表いたします。"
"当日急な予定が入ってしまい ました。日時の変更はできます か？","当日急な日時の変更についての質問ですね。
日時の指定・変更はできません。また申込締め切り日後の参加地区の変更や申込キャンセルはできません。"
"課題曲一覧に掲載されている版の楽譜を使用しなければいけませんか？","課題曲一覧に掲載されている版の楽譜について、課題曲一覧に掲載されている楽譜は、参考楽譜です。楽譜指定となっている曲目以外は、掲載楽譜でないものを使用してかまいません。

【参照】課題曲
http://www.piano.or.jp/compe/repertory/"
"課題曲が入った楽譜やCDを探しています。","課題曲が入った楽譜やCDは、「課題曲集CD」(全２巻)が発売されています。収録されている曲目は「課題曲一 覧」でご確認ください。また全国の主要楽器店ではピティナ・ピアノコンペティション特設コー ナーが設置され、課題曲のＣＤや楽譜が取り揃えられている場合もございます。一部の課題曲は ミュッセでもご購入いただけます。

課題曲CD
https://www.to-on.com/bastien/news/2014compe

課題曲一覧
http://www.piano.or.jp/compe/repertory/"
"急遽、遅刻・欠席することになってしまいました。","急遽、遅刻・欠席することになってしまった場合は、早急に本部事務局、または実施事務局までご連絡ください。

【参照】コンペティション（演奏検定）当日
http://www.piano.or.jp/compe/ontheday/"
"補助ペダル・足台は持参しなければいけませんか？","補助ペダル・足台の持参について、補助ペダル・足台を準備している地区もあります。当協会ウェブサイト各地区詳細ページにてご確認ください。また準備されている場合も、普段使用されているものと異なることがありますの で、各自持参をおすすめします。

【参照】コンペティション（演奏検定）当日
http://www.piano.or.jp/compe/ontheday/"
"演奏を撮影・録音することはできますか？","演奏を撮影・録音することについては、各開催地区により条件が異なります。「地区一覧」、当協会ウェブサイト各地区詳細ページにて可否をご確認ください。可能な場合でも運営の都合上、急遽撮影をご遠慮いただくこともございますので、当日は会場の係の指示に従ってください。

【参照】コンペティション（演奏検定）当日
http://www.piano.or.jp/compe/ontheday/"
"途中で演奏をカットされることはありますか？","途中で演奏をカットされることについて、運営の都合上、演奏の一部をカットし、次の曲へ移るように指示が入る場合がありますが、採点には一切影響がありません。またカットが入るタイミングは、曲の組み合わせなどにより各個人で異なります。"
"どうしても結果発表の時間まで残れません。","どうしても結果発表の時間まで残れない場合は、当日受付にてお申し出ください。（郵送する場合、送料はご負担頂きます）
審査結果は開催終了後、当協会ウェブサイトでも発表します。"
"当日の交付物を受け取ることができませんでした。／交付物に不足がありました。","当日の交付物を受け取れなかったり、交付物に不足があった場合、実施事務局までご連絡ください。"
"結果、採点票の内容について質問があります。","採点票の見方についてはこちらを参照してください。

【参照】 審査方法・採点票の見方
http://www.piano.or.jp/compe/about/shinsa.html"
"「コンペ参加シール」は何に使うものですか？","「コンペ参加シール」は、「ピティナ・パスポート」のコンペティション参加記録ページに貼っていただくためのシールです。

ピティナ・パスポート
http://www.piano.or.jp/step/ontheday/passport.html"
"コンペ参加シールってなんですか","「コンペ参加シール」は、「ピティナ・パスポート」のコンペティション参加記録ページに貼っていただくためのシールです。

ピティナ・パスポート
http://www.piano.or.jp/step/ontheday/passport.html"
"地区予選は何地区まで","地区予選の参加可能な地区数について、参加区分「コンペティション」としての参加は２地区までです。本選進出の対象とならない参加区分「演奏検定のみ」を選択した場合、制限はありません。（「演奏検定のみ」が選択できるのはソロ部門A2級～ F級、連弾各級のみ）部門間での併願についての注意事項をご覧ください。

演奏検定のみ
http://www.piano.or.jp/compe/about/ensoukentei.html

【参照】 参加規定
http://www.piano.or.jp/compe/about/regulations.html"
"ステップにはいつ、どこで参加できますか？","ステップの参加について、ステップは年間を通じ、全国約530ヶ所で開催しております。どこの地区でも参加することができます。開催が決定次第、申込受付を開始いたします。

→開催地区・日程
http://www.piano.or.jp/step/schedule/"
"年齢制限はありますか？","ステップに年齢制限はございません。幼児から大人まで幅広い年代の方が参加されています。（最高齢は100才、最小年齢は1歳です！）"
